protocol,file_auc_mean,file_auc_std,file_accuracy_mean,file_accuracy_std,original_auc_mean,original_auc_std,original_accuracy_mean,original_accuracy_std,density_accuracy_mean,density_accuracy_std,pathology_majority_accuracy_mean,pathology_majority_accuracy_std,density_majority_accuracy_mean,density_majority_accuracy_std,test_files_whose_original_is_in_train_mean,test_files_whose_original_is_in_train_std,test_files_whose_patient_is_in_train_mean,test_files_whose_patient_is_in_train_std
random,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9998689384010484,0.00029306264449539734,0.6698112867468142,0.00011846705520923533,0.3962258207657533,0.006294144036403772,1.0,0.0,1.0,0.0
image,0.8667425086403469,0.06616058717696846,0.8277837902837902,0.07381194669801049,0.9010718646432933,0.08139744340548216,0.8580086580086579,0.05922989221294226,0.6890993265993266,0.05111779607873312,0.6701298701298701,0.04376364313800904,0.3952380952380952,0.09159706696033974,0.0,0.0,0.9718614718614719,0.04236014240428772
patient,0.7241377873575076,0.09349848029971045,0.6967510806000509,0.07285501349370573,0.7540056022408963,0.0775879615677684,0.6976796338672769,0.06676081190496737,0.40272292143401983,0.1112816351528686,0.6604393592677346,0.16110572325763847,0.4007688787185354,0.10821743482958494,0.0,0.0,0.0,0.0
