config,fold,n_train,n_test,test_patients,patients_in_both,dens_accuracy,dens_macro_f1,dens_qwk,dens_n,dens_majority_accuracy
st_dens,1,2257,545,286,0,0.6844036697247706,0.6876359137140239,0.8019066026538779,545,0.3486238532110092
st_dens,2,2232,570,292,0,0.6614035087719298,0.6346433394282713,0.7446808510638298,570,0.39649122807017545
st_dens,3,2219,583,296,0,0.7169811320754716,0.7012028125296733,0.82810419582807,583,0.41852487135506006
st_dens,4,2243,559,294,0,0.6618962432915921,0.6627020658220744,0.7661024435034268,559,0.38998211091234347
st_dens,5,2257,545,292,0,0.6788990825688074,0.6586600513585728,0.7432811439881418,545,0.42018348623853213
