model,assessment_accuracy,assessment_balanced_accuracy,assessment_macro_f1,assessment_mae,density_accuracy,density_balanced_accuracy,density_macro_f1,assessment_non_monotonic_count,assessment_non_monotonic_rate
weighted_flat_baseline,0.26506024096385544,0.23685314685314687,0.2090842490842491,1.5060240963855422,0.5180722891566265,0.40061327561327564,0.37338801549327866,,
weighted_ordinal,0.25301204819277107,0.2735353535353536,0.1928695652173913,1.2289156626506024,0.6385542168674698,0.5131373256373256,0.4882513661202186,22.0,0.26506024096385544
shared_attention,0.46987951807228917,0.27888888888888885,0.255743842364532,1.1325301204819278,0.4939759036144578,0.3840788840788841,0.3474278199168094,,
dual_attention,0.3855421686746988,0.24850815850815855,0.23742183742183745,1.2530120481927711,0.4819277108433735,0.36730399230399224,0.3294139194139194,,
